,Investor_Name,Profile_link
0,Abakkus Fund - Sunil Singhania,https://ticker.finology.in/investor/abakkus-fund-sunil-singhania
1,Anil Kumar Goel,https://ticker.finology.in/investor/anil-kumar-goel
2,Ashish Dhawan,https://ticker.finology.in/investor/ashish-dhawan
3,Ashish Kacholia,https://ticker.finology.in/investor/ashish-kacholia
4,Dilipkumar Lakhi,https://ticker.finology.in/investor/dilipkumar-lakhi
5,Dolly Rajiv Khanna,https://ticker.finology.in/investor/dolly-khanna
6,Globe Capital Market Ltd,https://ticker.finology.in/investor/globe-capital-market-ltd
7,Hemendra M Kothari,https://ticker.finology.in/investor/hemendra-m-kothari
8,Madhusudan Kela,https://ticker.finology.in/investor/madhusudan-kela
9,Mohnish Pabrai,https://ticker.finology.in/investor/mohnish-pabrai
10,Mukesh Ambani & Family,https://ticker.finology.in/investor/mukesh-ambani
11,Mukul Agrawal,https://ticker.finology.in/investor/mukul-agrawal
12,Nemish S Shah,https://ticker.finology.in/investor/nemish-s-shah
13,Porinju V Veliyath,https://ticker.finology.in/investor/porinju-v-veliyath
14,President Of India,https://ticker.finology.in/investor/president-of-india
15,Radhakishan Damani,https://ticker.finology.in/investor/radhakishan-damani
16,Rekha Rakesh Jhunjhunwala,https://ticker.finology.in/investor/rakesh-jhunjhunwala
17,Satpal Khattar,https://ticker.finology.in/investor/satpal-khattar
18,Vallabh Bhanshali,https://ticker.finology.in/investor/vallabh-roopchand-bhanshali
19,Vijay Kedia,https://ticker.finology.in/investor/vijay-kedia
20,Aarti Singal,https://ticker.finology.in/investor/aarti-singal
21,Ajay Upadhyaya,https://ticker.finology.in/investor/ajay-upadhyaya
22,Akash Bhanshali,https://ticker.finology.in/investor/akash-bhanshali
23,Amit Gupta,https://ticker.finology.in/investor/amit-gupta
24,Aniket Singal,https://ticker.finology.in/investor/aniket-singal
25,Anuj A Sheth,https://ticker.finology.in/investor/anuj-a-sheth
26,Aquamarine Master And Trading,https://ticker.finology.in/investor/aquamarine-master-and-trading
27,Ashok Kumar Jain,https://ticker.finology.in/investor/ashok-kumar-jain
28,Atim Kabra,https://ticker.finology.in/investor/atim-kabra
29,Balram Bharwani,https://ticker.finology.in/investor/balram-bharwani
30,Bharat Jayantilal Patel,https://ticker.finology.in/investor/bharat-jayantilal-patel
31,Bhavook Tripathi,https://ticker.finology.in/investor/bhavook-tripathi
32,Deepinder Singh Poonian,https://ticker.finology.in/investor/deepinder-singh-poonian
33,Dheeraj Kumar Lohia,https://ticker.finology.in/investor/dheeraj-kumar-lohia
34,Dipak Kanayalal Shah,https://ticker.finology.in/investor/dipak-kanayalal-shah
35,Gagandeep Credit Capital Pvt Ltd,https://ticker.finology.in/investor/gagandeep-credit-capital-pvt-ltd
36,Harsha Hitesh Javeri,https://ticker.finology.in/investor/harsha-hitesh-javeri
37,Hemangini Vinitkumar Parikh,https://ticker.finology.in/investor/hemangini-vinitkumar-parikh
38,Hiten Anantrai Sheth,https://ticker.finology.in/investor/hiten-anantrai-sheth
39,Hitesh Ramji Javeri,https://ticker.finology.in/investor/hitesh-ramji-javeri
40,Hitesh Satishchandra Doshi,https://ticker.finology.in/investor/hitesh-satishchandra-doshi
41,Keswani Haresh,https://ticker.finology.in/investor/keswani-haresh
42,Kirti Kantilal Mehta,https://ticker.finology.in/investor/kirti-kantilal-mehta
43,Lincoln P Coelho,https://ticker.finology.in/investor/lincoln-p-coelho
44,Madan Bhagchand Melwani,https://ticker.finology.in/investor/madan-bhagchand-melwani
45,Madhukar Sheth,https://ticker.finology.in/investor/madhukar-sheth
46,Mahendra Girdharilal,https://ticker.finology.in/investor/mahendra-girdharilal
47,Manish Jain,https://ticker.finology.in/investor/manish-jain
48,Minal Bharat Patel,https://ticker.finology.in/investor/minal-bharat-patel
49,Mita Dipak Shah,https://ticker.finology.in/investor/mita-dipak-shah
50,Rafiyudeen Narudeen Saeyd,https://ticker.finology.in/investor/rafiyudeen-narudeen-saeyd
51,Raj Kumar Lohia,https://ticker.finology.in/investor/raj-kumar-lohia
52,Raju Bhandari,https://ticker.finology.in/investor/raju-bhandari
53,Religare Finvest Limited,https://ticker.finology.in/investor/religare-finvest-limited
54,Ricky Ishwardas Kirpalani,https://ticker.finology.in/investor/ricky-ishwardas-kirpalani
55,Rupesh Jha,https://ticker.finology.in/investor/rupesh-jha
56,Sangeetha S,https://ticker.finology.in/investor/sangeetha-s
57,Sanjay Gupta,https://ticker.finology.in/investor/sanjay-gupta
58,Sanjay Kumar Agarwal,https://ticker.finology.in/investor/sanjay-kumar-agarwal
59,Sanjay Singal,https://ticker.finology.in/investor/sanjay-singal
60,Sanjeev Vinodchandra Parekh,https://ticker.finology.in/investor/sanjeev-vinodchandra-parekh
61,Sanjiv Dhireshbhai Shah,https://ticker.finology.in/investor/sanjiv-dhireshbhai-shah
62,Santosh Sitaram Goenka,https://ticker.finology.in/investor/santosh-sitaram-goenka
63,Seetha Kumari,https://ticker.finology.in/investor/seetha-kumari
64,Sharad Kanayalal Shah,https://ticker.finology.in/investor/sharad-kanayalal-shah
65,Shaunak Jagdish Shah,https://ticker.finology.in/investor/shaunak-jagdish-shah
66,Shivani Tejas Trivedi,https://ticker.finology.in/investor/shivani-tejas-trivedi
67,Subramanian P,https://ticker.finology.in/investor/subramanian-p
68,Sumpoorna Portfolio Limited,https://ticker.finology.in/investor/sumpoorna-portfolio-limited
69,Sunil Kumar,https://ticker.finology.in/investor/sunil-kumar
70,Sunil Talwar,https://ticker.finology.in/investor/sunil-talwar
71,Suresh Kumar Agarwal,https://ticker.finology.in/investor/suresh-kumar-agarwal
72,Vanaja Sundar Iyer,https://ticker.finology.in/investor/vanaja-sundar-iyer
73,Vikas Khemani,https://ticker.finology.in/investor/vikas-khemani
74,Vinodchandra Mansukhlal Parekh,https://ticker.finology.in/investor/vinodchandra-mansukhlal-parekh
