,Comp_name,Comp_link,Q1,Q2,Q3,Q4,Q5,Value
0,Benares Hotels Ltd.,https://ticker.finology.in/company/SCRIP-109438,1.58,1.58,1.58,1.55,Filing_Due,17.47
1,Garware Technical Fibres Ltd.,https://ticker.finology.in/company/GARFIBRES,1.14,1.14,1.14,1.14,Filing_Due,89.71
2,Jayshree Chemicals Ltd.,https://ticker.finology.in/company/SCRIP-106520,2.93,2.93,-,-,1.16,0.32
3,Kandagiri Spinning Mills Ltd.,https://ticker.finology.in/company/KANDAGIRI,2.04,2.04,2.04,2.04,-,0.00
4,Ras Resorts & Apart Hotels Ltd.,https://ticker.finology.in/company/SCRIP-107966,2.79,2.79,2.79,2.79,-,0.00
5,Sambandam Spinning Mills Ltd.,https://ticker.finology.in/company/SAMBANDAM,3.20,3.20,3.20,3.20,3.20,2.20
6,Shri Dinesh Mills Ltd.,https://ticker.finology.in/company/SHRIDINESH,1.03,1.03,1.03,1.03,1.03,3.10
7,SIL Investments Ltd.,https://ticker.finology.in/company/SILINV,1.10,1.10,1.10,1.10,Filing_Due,7.00
8,Sutlej Textiles And Industries Ltd.,https://ticker.finology.in/company/SUTLEJTEX,1.10,1.10,1.10,1.10,Filing_Due,11.43
9,WH Brady & Company Ltd.,https://ticker.finology.in/company/SCRIP-101391,1.56,1.56,1.56,1.56,Filing_Due,2.46
